motif	expression
mm9.SP4_MOUSE.H11MO.0.B	6.295
mm9.ZEB1_MOUSE.H11MO.0.B	6.42
mm9.RXRG_MOUSE.H11MO.0.B	6.515
mm9.MEF2A_MOUSE.H11MO.0.A	6.605
mm9.TEAD4_MOUSE.H11MO.0.A	6.71
mm9.NFKB2_MOUSE.H11MO.0.C	6.845
mm9.KLF8_MOUSE.H11MO.0.C	6.885
mm9.ZKSC1_MOUSE.H11MO.0.A	6.895
mm9.E2F2_MOUSE.H11MO.0.B	6.98
mm9.ZBT7A_MOUSE.H11MO.0.B	7.3
mm9.RELB_MOUSE.H11MO.0.C	7.555
mm9.STAT4_MOUSE.H11MO.0.A	7.93
mm9.PBX1_MOUSE.H11MO.0.A	7.985
mm9.CREM_MOUSE.H11MO.0.C	8.6
mm9.ETV6_MOUSE.H11MO.0.C	8.98
mm9.MXI1_MOUSE.H11MO.0.A	9.065
mm9.ETS2_MOUSE.H11MO.0.A	9.085
mm9.SOX3_MOUSE.H11MO.0.C	9.225
mm9.CLOCK_MOUSE.H11MO.0.C	9.28
mm9.NDF1_MOUSE.H11MO.0.A	9.355
mm9.EPAS1_MOUSE.H11MO.0.C	9.36
mm9.MYB_MOUSE.H11MO.0.A	9.39
mm9.PRD14_MOUSE.H11MO.0.A	9.4
mm9.ELF3_MOUSE.H11MO.0.B	9.415
mm9.PBX3_MOUSE.H11MO.0.A	9.56
mm9.NR4A1_MOUSE.H11MO.0.B	9.8
mm9.ELK4_MOUSE.H11MO.0.B	9.86
mm9.JUNB_MOUSE.H11MO.0.A	9.875
mm9.FOXK1_MOUSE.H11MO.0.A	9.885
mm9.KAISO_MOUSE.H11MO.0.B	9.985
mm9.MEF2D_MOUSE.H11MO.0.A	10.13
mm9.NR2C2_MOUSE.H11MO.0.A	10.605
mm9.SMAD3_MOUSE.H11MO.0.B	10.795
mm9.AIRE_MOUSE.H11MO.0.C	10.865
mm9.BMAL1_MOUSE.H11MO.0.A	11.095
mm9.KLF15_MOUSE.H11MO.0.A	11.745
mm9.TF65_MOUSE.H11MO.0.A	11.83
mm9.RFX1_MOUSE.H11MO.0.A	11.93
mm9.CEBPB_MOUSE.H11MO.0.A	12.19
mm9.MTF1_MOUSE.H11MO.0.C	12.595
mm9.ERR1_MOUSE.H11MO.0.A	12.65
mm9.ITF2_MOUSE.H11MO.0.B	12.87
mm9.PKNX1_MOUSE.H11MO.0.A	13.16
mm9.TBX3_MOUSE.H11MO.0.B	13.18
mm9.STAT6_MOUSE.H11MO.0.A	13.685
mm9.IRF1_MOUSE.H11MO.0.A	13.705
mm9.FOXO3_MOUSE.H11MO.0.B	14.12
mm9.ZN335_MOUSE.H11MO.0.A	14.78
mm9.TFEB_MOUSE.H11MO.0.C	14.82
mm9.E2F7_MOUSE.H11MO.0.C	15.15
mm9.IRF3_MOUSE.H11MO.0.A	15.475
mm9.CUX1_MOUSE.H11MO.0.C	15.58
mm9.STAT2_MOUSE.H11MO.0.A	15.655
mm9.RFX2_MOUSE.H11MO.0.A	15.835
mm9.ELK1_MOUSE.H11MO.0.B	15.935
mm9.SIX4_MOUSE.H11MO.0.C	16.135
mm9.HTF4_MOUSE.H11MO.0.A	16.145
mm9.FOXO1_MOUSE.H11MO.0.A	16.35
mm9.SMAD2_MOUSE.H11MO.0.A	16.79
mm9.CREB1_MOUSE.H11MO.0.A	17.215
mm9.ZN322_MOUSE.H11MO.0.B	17.26
mm9.ZFX_MOUSE.H11MO.0.B	17.285
mm9.DMRT1_MOUSE.H11MO.0.C	17.545
mm9.MBD2_MOUSE.H11MO.0.B	17.855
mm9.NFKB1_MOUSE.H11MO.0.A	18.24
mm9.HINFP_MOUSE.H11MO.0.C	18.33
mm9.NR1D2_MOUSE.H11MO.0.A	18.815
mm9.BHE40_MOUSE.H11MO.0.A	18.95
mm9.ZBT17_MOUSE.H11MO.0.A	19.145
mm9.PAX6_MOUSE.H11MO.0.C	19.645
mm9.NR5A2_MOUSE.H11MO.0.A	19.84
mm9.FOXJ3_MOUSE.H11MO.0.A	20.27
mm9.SRF_MOUSE.H11MO.0.A	21.345
mm9.WT1_MOUSE.H11MO.0.B	22.26
mm9.E2F3_MOUSE.H11MO.0.A	23.6
mm9.E2F6_MOUSE.H11MO.0.A	23.815
mm9.MYC_MOUSE.H11MO.0.A	23.91
mm9.BACH1_MOUSE.H11MO.0.C	24.01
mm9.KLF6_MOUSE.H11MO.0.B	26.225
mm9.ZN143_MOUSE.H11MO.0.A	26.235
mm9.SP2_MOUSE.H11MO.0.B	26.38
mm9.FOXD3_MOUSE.H11MO.0.C	26.48
mm9.CEBPG_MOUSE.H11MO.0.B	26.67
mm9.RARA_MOUSE.H11MO.0.A	27.285
mm9.ZN431_MOUSE.H11MO.0.C	27.37
mm9.PBX2_MOUSE.H11MO.0.C	27.935
mm9.NFYA_MOUSE.H11MO.0.A	28.445
mm9.JUND_MOUSE.H11MO.0.A	28.58
mm9.PO2F1_MOUSE.H11MO.0.C	29.53
mm9.GRHL2_MOUSE.H11MO.0.A	30.115
mm9.FOXM1_MOUSE.H11MO.0.B	31.63
mm9.AP2C_MOUSE.H11MO.0.A	31.685
mm9.ELF2_MOUSE.H11MO.0.C	31.71
mm9.FOXO4_MOUSE.H11MO.0.C	32.13
mm9.E2F5_MOUSE.H11MO.0.B	32.54
mm9.SOX4_MOUSE.H11MO.0.A	32.86
mm9.PRDM5_MOUSE.H11MO.0.A	33.1
mm9.SRBP1_MOUSE.H11MO.0.B	33.995
mm9.TEAD1_MOUSE.H11MO.0.A	34.365
mm9.NFAC3_MOUSE.H11MO.0.B	34.735
mm9.RXRB_MOUSE.H11MO.0.C	35.27
mm9.GLI1_MOUSE.H11MO.0.C	36.65
mm9.STAT3_MOUSE.H11MO.0.A	37.925
mm9.HSF1_MOUSE.H11MO.0.A	38.57
mm9.E2F1_MOUSE.H11MO.0.A	40.935
mm9.PEBB_MOUSE.H11MO.0.C	44.68
mm9.USF2_MOUSE.H11MO.0.A	45.255
mm9.ETV4_MOUSE.H11MO.0.B	45.39
mm9.KLF4_MOUSE.H11MO.0.A	45.515
mm9.ARNT_MOUSE.H11MO.0.B	46.99
mm9.ZIC2_MOUSE.H11MO.0.C	49.09
mm9.LEF1_MOUSE.H11MO.0.B	49.25
mm9.ATF2_MOUSE.H11MO.0.A	50.055
mm9.TF2L1_MOUSE.H11MO.0.C	50.65
mm9.THA11_MOUSE.H11MO.0.B	51.185
mm9.SMAD4_MOUSE.H11MO.0.A	51.305
mm9.NRF1_MOUSE.H11MO.0.A	52.315
mm9.MAFG_MOUSE.H11MO.0.A	53.49
mm9.HSF2_MOUSE.H11MO.0.A	54.085
mm9.TAF1_MOUSE.H11MO.0.A	55.065
mm9.TBP_MOUSE.H11MO.0.A	55.16
mm9.KLF3_MOUSE.H11MO.0.A	56.965
mm9.TF7L1_MOUSE.H11MO.0.A	56.99
mm9.PO3F1_MOUSE.H11MO.0.C	60.06
mm9.SP3_MOUSE.H11MO.0.B	60.935
mm9.ZN281_MOUSE.H11MO.0.A	64.485
mm9.TCF7_MOUSE.H11MO.0.A	67.605
mm9.DDIT3_MOUSE.H11MO.0.C	69.165
mm9.NF2L2_MOUSE.H11MO.0.A	69.775
mm9.NFYC_MOUSE.H11MO.0.B	70.46
mm9.GABPA_MOUSE.H11MO.0.A	71.36
mm9.TYY1_MOUSE.H11MO.0.A	73.64
mm9.MAX_MOUSE.H11MO.0.A	74.27
mm9.NFYB_MOUSE.H11MO.0.A	75.035
mm9.REST_MOUSE.H11MO.0.A	76.645
mm9.ARI5B_MOUSE.H11MO.0.C	78.06
mm9.XBP1_MOUSE.H11MO.0.C	78.225
mm9.HIF1A_MOUSE.H11MO.0.C	79.6
mm9.TFE3_MOUSE.H11MO.0.A	86.25
mm9.SALL4_MOUSE.H11MO.0.A	89.295
mm9.OTX2_MOUSE.H11MO.0.A	89.47
mm9.SP1_MOUSE.H11MO.0.A	93.515
mm9.ZIC3_MOUSE.H11MO.0.A	94.07
mm9.TFE2_MOUSE.H11MO.0.A	100.525
mm9.CTCF_MOUSE.H11MO.0.A	103.44
mm9.ATF1_MOUSE.H11MO.0.B	105.9
mm9.USF1_MOUSE.H11MO.0.A	107.355
mm9.TEAD2_MOUSE.H11MO.0.C	111.19
mm9.KLF5_MOUSE.H11MO.0.A	116.67
mm9.RARG_MOUSE.H11MO.0.C	117.505
mm9.SUH_MOUSE.H11MO.0.A	122.175
mm9.NF2L1_MOUSE.H11MO.0.C	141.435
mm9.MYCN_MOUSE.H11MO.0.A	143.385
mm9.SMCA5_MOUSE.H11MO.0.C	158.88
mm9.TGIF1_MOUSE.H11MO.0.A	163.185
mm9.E2F4_MOUSE.H11MO.0.A	191.265
mm9.MAZ_MOUSE.H11MO.0.A	195.56
mm9.ZFP57_MOUSE.H11MO.0.B	216.4
mm9.SRBP2_MOUSE.H11MO.0.B	217.475
mm9.ERR2_MOUSE.H11MO.0.A	221.375
mm9.NANOG_MOUSE.H11MO.0.A	290.595
mm9.P53_MOUSE.H11MO.0.A	332.035
mm9.SOX2_MOUSE.H11MO.0.A	334.285
mm9.ATF4_MOUSE.H11MO.0.A	368.45
mm9.ZFP42_MOUSE.H11MO.0.A	494.14
mm9.PO5F1_MOUSE.H11MO.0.A	1699.59
